building1_id,building1_centroid_lat,building1_centroid_lon,building1_min_lat,building1_min_lon,building1_max_lat,building1_max_lon,building2_id,building2_centroid_lat,building2_centroid_lon,building2_min_lat,building2_min_lon,building2_max_lat,building2_max_lon
"('relation', 12118086)",60.07201782140513,11.027483202452647,59.571576483613505,10.526843393877295,60.5720212933259,11.528233757323868,"('way', 150395629)",60.08689018216868,10.993115812117004,59.58691989076947,10.493409549575542,60.586764528404615,11.492837668191559
"('relation', 12118086)",60.07201782140513,11.027483202452647,59.571576483613505,10.526843393877295,60.5720212933259,11.528233757323868,"('way', 150372568)",60.08550508439529,10.99299260322523,59.58575650630019,10.492940587997698,60.58512535270277,11.492892796213855
"('relation', 12118086)",60.07201782140513,11.027483202452647,59.571576483613505,10.526843393877295,60.5720212933259,11.528233757323868,"('way', 656810209)",60.08627307754588,10.992951248021445,59.5863185919166,10.492953689871964,60.586221101347284,11.492929258667544
"('relation', 12118086)",60.07201782140513,11.027483202452647,59.571576483613505,10.526843393877295,60.5720212933259,11.528233757323868,"('way', 150395598)",60.086355500000046,10.99296475,59.58632468586967,10.492925359937948,60.58638631413039,11.493004140061615
"('relation', 12118086)",60.07201782140513,11.027483202452647,59.571576483613505,10.526843393877295,60.5720212933259,11.528233757323868,"('way', 150395607)",60.086238000000044,10.993284749999992,59.586618061067135,10.493537613438006,60.58585793893247,11.493031886560953
"('relation', 12118086)",60.07201782140513,11.027483202452647,59.571576483613505,10.526843393877295,60.5720212933259,11.528233757323868,"('way', 150117757)",60.084735553605775,10.993002417946801,59.58465164735845,10.492904222713884,60.58479858217795,11.493083951540699
"('relation', 12118086)",60.07201782140513,11.027483202452647,59.571576483613505,10.526843393877295,60.5720212933259,11.528233757323868,"('way', 150395610)",60.08618644318938,10.993025307551394,59.58653895163876,10.493014584319939,60.58627132247147,11.493109370326097
"('relation', 12118086)",60.07201782140513,11.027483202452647,59.571576483613505,10.526843393877295,60.5720212933259,11.528233757323868,"('way', 150395626)",60.08651949999998,10.993057699999994,59.586477065045834,10.49299597905308,60.58656193495415,11.493119420946911
"('relation', 12118086)",60.07201782140513,11.027483202452647,59.571576483613505,10.526843393877295,60.5720212933259,11.528233757323868,"('way', 656810204)",60.08543769999999,10.99317109999999,59.58554539868981,10.493204960968063,60.585330001310375,11.493137239031988
"('relation', 12118086)",60.07201782140513,11.027483202452647,59.571576483613505,10.526843393877295,60.5720212933259,11.528233757323868,"('way', 150117762)",60.08485245978255,10.99311893102818,59.58481429731875,10.493037327528365,60.58488514918972,11.49322769998862
"('relation', 12118086)",60.07201782140513,11.027483202452647,59.571576483613505,10.526843393877295,60.5720212933259,11.528233757323868,"('way', 150117770)",60.08481824999999,10.99351299999998,59.585228902198345,10.49370386408513,60.584407597802866,11.493322135914504
